sample_id,fold,sample_index,degradation,strength,target_side,vif
fold3_2171,3,2171,defocus,0.0,,1
fold2_1924,2,1924,defocus,0.0,,1
fold3_1270,3,1270,defocus,0.0,,1
fold1_1539,1,1539,defocus,0.0,,1
fold1_2479,1,2479,defocus,0.0,,1
fold3_0877,3,877,defocus,0.0,,1
fold3_1558,3,1558,defocus,0.0,,1
fold2_1458,2,1458,defocus,0.0,,1
fold2_2053,2,2053,defocus,0.0,,1
fold2_2213,2,2213,defocus,0.0,,1
fold3_2370,3,2370,defocus,0.0,,1
fold1_2202,1,2202,defocus,0.0,,1
fold2_0895,2,895,defocus,0.0,,1
fold2_1222,2,1222,defocus,0.0,,1
fold1_1443,1,1443,defocus,0.0,,1
fold3_2238,3,2238,defocus,0.0,,1
fold1_2462,1,2462,defocus,0.0,,1
fold1_0906,1,906,defocus,0.0,,1
fold3_1201,3,1201,defocus,0.0,,1
fold1_0775,1,775,defocus,0.0,,1
fold1_1330,1,1330,defocus,0.0,,1
fold1_1203,1,1203,defocus,0.0,,1
fold3_2340,3,2340,defocus,0.0,,1
fold2_1437,2,1437,defocus,0.0,,1
fold2_1463,2,1463,defocus,0.0,,1
fold2_0969,2,969,defocus,0.0,,1
fold3_0926,3,926,defocus,0.0,,1
fold3_1944,3,1944,defocus,0.0,,1
fold3_0988,3,988,defocus,0.0,,1
fold1_0966,1,966,defocus,0.0,,1
fold3_1594,3,1594,defocus,0.0,,1
fold3_2616,3,2616,defocus,0.0,,1
fold1_2523,1,2523,defocus,0.0,,1
fold1_0912,1,912,defocus,0.0,,1
fold1_1147,1,1147,defocus,0.0,,1
fold1_2518,1,2518,defocus,0.0,,1
fold1_1043,1,1043,defocus,0.0,,1
fold1_1236,1,1236,defocus,0.0,,1
fold2_1258,2,1258,defocus,0.0,,1
fold2_2491,2,2491,defocus,0.0,,1
fold2_0875,2,875,defocus,0.0,,1
fold1_1667,1,1667,defocus,0.0,,1
fold2_0541,2,541,defocus,0.0,,1
fold2_0827,2,827,defocus,0.0,,1
fold1_2517,1,2517,defocus,0.0,,1
fold1_2246,1,2246,defocus,0.0,,1
fold3_1689,3,1689,defocus,0.0,,1
fold1_2245,1,2245,defocus,0.0,,1
fold2_2132,2,2132,defocus,0.0,,1
fold2_0799,2,799,defocus,0.0,,1
fold2_1828,2,1828,defocus,0.0,,1
fold2_2236,2,2236,defocus,0.0,,1
fold3_2211,3,2211,defocus,0.0,,1
fold2_2350,2,2350,defocus,0.0,,1
fold2_1146,2,1146,defocus,0.0,,1
fold1_1119,1,1119,defocus,0.0,,1
fold1_2298,1,2298,defocus,0.0,,1
fold2_2323,2,2323,defocus,0.0,,1
fold2_2149,2,2149,defocus,0.0,,1
fold1_1434,1,1434,defocus,0.0,,1
fold1_1449,1,1449,defocus,0.0,,1
fold1_1438,1,1438,defocus,0.0,,1
fold3_0883,3,883,defocus,0.0,,1
fold3_2464,3,2464,defocus,0.0,,1
fold1_2528,1,2528,defocus,0.0,,1
fold1_2494,1,2494,defocus,0.0,,1
fold1_1109,1,1109,defocus,0.0,,1
fold1_2509,1,2509,defocus,0.0,,1
fold1_1097,1,1097,defocus,0.0,,1
fold3_0536,3,536,defocus,0.0,,1
fold1_0875,1,875,defocus,0.0,,1
fold1_1445,1,1445,defocus,0.0,,1
fold3_0968,3,968,defocus,0.0,,1
fold1_1629,1,1629,defocus,0.0,,1
fold1_0923,1,923,defocus,0.0,,1
fold2_2196,2,2196,defocus,0.0,,1
fold3_0199,3,199,defocus,0.0,,1
fold3_1499,3,1499,defocus,0.0,,1
fold1_0478,1,478,defocus,0.0,,1
fold2_1242,2,1242,defocus,0.0,,1
fold3_2669,3,2669,defocus,0.0,,1
fold3_2150,3,2150,defocus,0.0,,1
fold3_2429,3,2429,defocus,0.0,,1
fold2_2211,2,2211,defocus,0.0,,1
fold3_2441,3,2441,defocus,0.0,,1
fold2_1665,2,1665,defocus,0.0,,1
fold1_2287,1,2287,defocus,0.0,,1
fold2_1573,2,1573,defocus,0.0,,1
fold1_2131,1,2131,defocus,0.0,,1
fold2_2226,2,2226,defocus,0.0,,1
fold3_0938,3,938,defocus,0.0,,1
fold3_2197,3,2197,defocus,0.0,,1
fold1_1103,1,1103,defocus,0.0,,1
fold1_1255,1,1255,defocus,0.0,,1
fold2_0059,2,59,defocus,0.0,,1
fold1_2585,1,2585,defocus,0.0,,1
fold1_2253,1,2253,defocus,0.0,,1
fold3_2412,3,2412,defocus,0.0,,1
fold3_0898,3,898,defocus,0.0,,1
fold2_1426,2,1426,defocus,0.0,,1
fold3_1599,3,1599,defocus,0.0,,1
fold3_2296,3,2296,defocus,0.0,,1
fold2_1469,2,1469,defocus,0.0,,1
fold3_0873,3,873,defocus,0.0,,1
fold3_2568,3,2568,defocus,0.0,,1
fold3_2438,3,2438,defocus,0.0,,1
fold2_1664,2,1664,defocus,0.0,,1
fold1_2565,1,2565,defocus,0.0,,1
fold2_0079,2,79,defocus,0.0,,1
fold1_1611,1,1611,defocus,0.0,,1
fold3_1225,3,1225,defocus,0.0,,1
fold3_2462,3,2462,defocus,0.0,,1
fold3_1595,3,1595,defocus,0.0,,1
fold3_1019,3,1019,defocus,0.0,,1
fold1_0913,1,913,defocus,0.0,,1
fold1_0996,1,996,defocus,0.0,,1
fold2_0674,2,674,defocus,0.0,,1
fold2_2150,2,2150,defocus,0.0,,1
fold2_0468,2,468,defocus,0.0,,1
fold2_1887,2,1887,defocus,0.0,,1
fold1_2344,1,2344,defocus,0.0,,1
fold3_2447,3,2447,defocus,0.0,,1
fold1_2128,1,2128,defocus,0.0,,1
fold1_2108,1,2108,defocus,0.0,,1
fold2_2223,2,2223,defocus,0.0,,1
fold1_2559,1,2559,defocus,0.0,,1
fold2_1890,2,1890,defocus,0.0,,1
fold3_2332,3,2332,defocus,0.0,,1
fold3_1585,3,1585,defocus,0.0,,1
fold2_2349,2,2349,defocus,0.0,,1
fold3_2262,3,2262,defocus,0.0,,1
fold3_2564,3,2564,defocus,0.0,,1
fold3_2579,3,2579,defocus,0.0,,1
fold1_0871,1,871,defocus,0.0,,1
fold2_0967,2,967,defocus,0.0,,1
fold2_2277,2,2277,defocus,0.0,,1
fold1_1068,1,1068,defocus,0.0,,1
fold2_1408,2,1408,defocus,0.0,,1
fold2_2303,2,2303,defocus,0.0,,1
fold2_1136,2,1136,defocus,0.0,,1
fold1_0885,1,885,defocus,0.0,,1
fold3_0519,3,519,defocus,0.0,,1
fold2_2123,2,2123,defocus,0.0,,1
fold1_2319,1,2319,defocus,0.0,,1
fold2_2075,2,2075,defocus,0.0,,1
fold1_1210,1,1210,defocus,0.0,,1
fold2_2184,2,2184,defocus,0.0,,1
fold1_0990,1,990,defocus,0.0,,1
fold1_2539,1,2539,defocus,0.0,,1
fold3_2586,3,2586,defocus,0.0,,1
fold2_2114,2,2114,defocus,0.0,,1
fold1_2363,1,2363,defocus,0.0,,1
fold2_0806,2,806,defocus,0.0,,1
fold3_2354,3,2354,defocus,0.0,,1
fold2_0063,2,63,defocus,0.0,,1
fold1_1674,1,1674,defocus,0.0,,1
fold3_1678,3,1678,defocus,0.0,,1
fold2_0840,2,840,defocus,0.0,,1
fold1_2324,1,2324,defocus,0.0,,1
fold3_1305,3,1305,defocus,0.0,,1
fold2_2143,2,2143,defocus,0.0,,1
fold3_0998,3,998,defocus,0.0,,1
fold2_0947,2,947,defocus,0.0,,1
fold3_0738,3,738,defocus,0.0,,1
fold1_1442,1,1442,defocus,0.0,,1
fold2_2112,2,2112,defocus,0.0,,1
fold2_2316,2,2316,defocus,0.0,,1
fold2_1407,2,1407,defocus,0.0,,1
fold2_1716,2,1716,defocus,0.0,,1
fold2_2110,2,2110,defocus,0.0,,1
fold2_0816,2,816,defocus,0.0,,1
fold3_2449,3,2449,defocus,0.0,,1
fold1_2130,1,2130,defocus,0.0,,1
fold3_1155,3,1155,defocus,0.0,,1
fold3_1513,3,1513,defocus,0.0,,1
fold1_2584,1,2584,defocus,0.0,,1
fold2_2309,2,2309,defocus,0.0,,1
fold3_2042,3,2042,defocus,0.0,,1
fold3_2402,3,2402,defocus,0.0,,1
fold3_0948,3,948,defocus,0.0,,1
fold2_1255,2,1255,defocus,0.0,,1
fold1_2393,1,2393,defocus,0.0,,1
fold3_2444,3,2444,defocus,0.0,,1
fold1_1816,1,1816,defocus,0.0,,1
fold3_1550,3,1550,defocus,0.0,,1
fold2_0658,2,658,defocus,0.0,,1
fold3_2295,3,2295,defocus,0.0,,1
fold1_1660,1,1660,defocus,0.0,,1
fold1_1402,1,1402,defocus,0.0,,1
fold3_1159,3,1159,defocus,0.0,,1
fold2_0845,2,845,defocus,0.0,,1
fold3_2145,3,2145,defocus,0.0,,1
fold3_2411,3,2411,defocus,0.0,,1
fold3_1304,3,1304,defocus,0.0,,1
fold2_2146,2,2146,defocus,0.0,,1
fold3_1017,3,1017,defocus,0.0,,1
fold1_1906,1,1906,defocus,0.0,,1
fold3_1961,3,1961,defocus,0.0,,1
fold2_1947,2,1947,defocus,0.0,,1
fold3_0319,3,319,defocus,0.0,,1
fold2_1979,2,1979,defocus,0.0,,1
fold2_2352,2,2352,defocus,0.0,,1
fold1_1065,1,1065,defocus,0.0,,1
fold3_0870,3,870,defocus,0.0,,1
fold2_1497,2,1497,defocus,0.0,,1
fold2_1098,2,1098,defocus,0.0,,1
fold2_1123,2,1123,defocus,0.0,,1
fold1_0667,1,667,defocus,0.0,,1
fold3_0324,3,324,defocus,0.0,,1
fold1_0658,1,658,defocus,0.0,,1
fold3_1606,3,1606,defocus,0.0,,1
fold1_1167,1,1167,defocus,0.0,,1
fold1_2249,1,2249,defocus,0.0,,1
fold1_1020,1,1020,defocus,0.0,,1
fold2_0838,2,838,defocus,0.0,,1
fold1_1583,1,1583,defocus,0.0,,1
fold1_0874,1,874,defocus,0.0,,1
fold1_2297,1,2297,defocus,0.0,,1
fold2_2252,2,2252,defocus,0.0,,1
fold2_1237,2,1237,defocus,0.0,,1
fold2_0981,2,981,defocus,0.0,,1
fold1_2500,1,2500,defocus,0.0,,1
fold1_2310,1,2310,defocus,0.0,,1
fold1_1522,1,1522,defocus,0.0,,1
fold3_2528,3,2528,defocus,0.0,,1
fold2_2174,2,2174,defocus,0.0,,1
fold2_1915,2,1915,defocus,0.0,,1
fold1_1034,1,1034,defocus,0.0,,1
fold3_1815,3,1815,defocus,0.0,,1
fold2_0596,2,596,defocus,0.0,,1
fold1_1451,1,1451,defocus,0.0,,1
fold3_1235,3,1235,defocus,0.0,,1
fold1_2290,1,2290,defocus,0.0,,1
fold1_2473,1,2473,defocus,0.0,,1
fold1_1092,1,1092,defocus,0.0,,1
fold2_1559,2,1559,defocus,0.0,,1
fold3_2342,3,2342,defocus,0.0,,1
fold3_2032,3,2032,defocus,0.0,,1
fold2_1143,2,1143,defocus,0.0,,1
fold3_1041,3,1041,defocus,0.0,,1
fold2_2464,2,2464,defocus,0.0,,1
fold2_1186,2,1186,defocus,0.0,,1
fold2_1044,2,1044,defocus,0.0,,1
fold1_1158,1,1158,defocus,0.0,,1
fold2_1216,2,1216,defocus,0.0,,1
fold3_2365,3,2365,defocus,0.0,,1
fold3_2154,3,2154,defocus,0.0,,1
fold1_1038,1,1038,defocus,0.0,,1
fold1_2553,1,2553,defocus,0.0,,1
fold2_2074,2,2074,defocus,0.0,,1
fold3_2628,3,2628,defocus,0.0,,1
fold2_1741,2,1741,defocus,0.0,,1
fold1_0323,1,323,defocus,0.0,,1
fold2_0773,2,773,defocus,0.0,,1
fold2_2025,2,2025,defocus,0.0,,1
fold3_2401,3,2401,defocus,0.0,,1
fold3_0862,3,862,defocus,0.0,,1
fold3_2496,3,2496,defocus,0.0,,1
fold3_2516,3,2516,defocus,0.0,,1
fold1_0193,1,193,defocus,0.0,,1
