epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,dino_global_loss,dino_local_loss,ibot_loss,koleo_loss,teacher_temperature,masked_patch_fraction,logical_views,ema_momentum
11,7901,34.21675630903337,230.91025720383968,3.661487176729931e-05,0.04118953812748827,17.43855571746826,16.3286905357497,1.7218767544119105,11.078229074221053,11.078921021245549,5.2866247526800585,-0.18389294520463692,0.043496773431475816,0.14763855042638332,10.0,0.9920264341806109
12,7901,34.47445705591235,229.18417503097362,3.994838432173773e-05,0.04141569788752825,17.43855571746826,16.288528322645448,1.5584500843536218,11.074250029938204,11.075249947983771,5.252519326064575,-0.19565033265388912,0.043830124686919665,0.14763855042638332,10.0,0.9920314599530562
13,7901,34.850986432051286,226.7080736840698,4.328189687617614e-05,0.04166144353469042,17.43855571746826,16.253614809977496,1.648783219387193,11.068652360624277,11.070086894043184,5.222456670202736,-0.1938483062695437,0.0441634759423635,0.14763855042638332,10.0,0.9920369209674376
14,7901,38.25529817305505,206.5334836565209,4.661540943061455e-05,0.04192674811729752,17.43855571746826,16.202615516787162,1.5468505805179358,11.061353061127068,11.06353081390686,5.1810234703756315,-0.2084844447686512,0.044496827197807336,0.14763855042638332,10.0,0.9920428166248288
15,7901,34.20366472401656,230.9986389982418,4.9948921985052964e-05,0.04221158253858376,17.43855571746826,16.158431687455828,1.6204528053294796,11.050111733453361,11.053309470064322,5.146208791789518,-0.20365750751734052,0.04483017845325119,0.14763855042638332,10.0,0.9920491462786352
16,7901,34.21253268595319,230.93876365499105,5.328243453949137e-05,0.04251591555988615,17.43855571746826,16.113029088661378,1.6386801892029397,11.036240016790964,11.040685792253555,5.114279313866601,-0.20721121241949492,0.04516352970869503,0.14763855042638332,10.0,0.9920559092346641
17,7901,34.3017866499722,230.33785617713306,5.661594709392978e-05,0.042839713804070534,17.43855571746826,16.08420383910592,1.7822632789611816,11.019400245976469,11.02535857956344,5.099799605204084,-0.2014625042039463,0.04549688096413887,0.14763855042638332,10.0,0.9920631047512015
18,7901,34.116173816961236,231.591034867806,5.994945964836819e-05,0.043182941759192184,17.43855571746826,16.058906841241864,1.8658100968900322,10.99798563513148,11.006893700760326,5.09389051916086,-0.20443890370035334,0.045830232219582705,0.14763855042638332,10.0,0.9920707320390931
19,7901,33.844298298005015,233.45143487479933,6.32829722028066e-05,0.04354556178239066,17.43855571746826,16.02822037259773,1.6667928471925546,10.973856429512962,10.984701133199831,5.085181809666639,-0.2022885405052434,0.04616358347502655,0.14763855042638332,10.0,0.9920787902618309
20,7901,33.695936718955636,234.47931024737755,6.6616484757245e-05,0.04392753410401784,17.43855571746826,16.004204066761414,1.6661756399265952,10.950175907563263,10.964167172690612,5.082354449030871,-0.20381565812969038,0.04649693473047038,0.14763855042638332,10.0,0.9920872785356448
21,7901,31.919913397054188,247.5257342248668,6.994999731168342e-05,0.044328816831999796,17.43855571746826,15.97660471357706,1.6202077848702168,10.927740456740805,10.942866347467065,5.07504510571724,-0.19813093700155157,0.046830285985914225,0.14763855042638332,10.0,0.9920961959296
22,7901,34.41410195501521,229.58611589888014,7.328350986612184e-05,0.044749365956431364,17.43855571746826,15.962966591598807,1.7129362298029764,10.90802006032886,10.92648934056647,5.077920675669994,-0.19695729758072286,0.04716363724135808,0.14763855042638332,10.0,0.9921055414656985
23,7901,33.988116152002476,232.46360476894208,7.661702242056024e-05,0.045189135354402554,17.43855571746826,15.93455319259155,1.4345318152623574,10.884801321219166,10.908482848021247,5.070821802761868,-0.21060144783213022,0.047496988496801916,0.14763855042638332,10.0,0.9921153141189867
